index,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year,Dosemtic %,Foreign %,Domestic %
0,1,The Avengers,0,0,41%,0,59%,2012.csv,2012,41%,,
2233,2,The End of Endless Love,0,0,-,0,100%,2020.csv,2020,-,,
2257,3,Gretel & Hansel,0,0,69.6%,0,30.4%,2020.csv,2020,69.6%,,
2270,4,30 jours max,0,0,-,0,100%,2020.csv,2020,-,,
2261,5,Yarn,0,0,-,0,100%,2020.csv,2020,-,,
2262,6,Brahms: The Boy II,0,0,62.1%,0,37.9%,2020.csv,2020,62.1%,,
2263,7,Violet Evergarden: The Movie,0,0,-,0,100%,2020.csv,2020,-,,
2264,8,Ice 2,0,0,-,0,100%,2020.csv,2020,-,,
2265,9,Soul Snatcher,0,0,-,0,100%,2020.csv,2020,-,,
2266,10,The Turning,0,0,79.6%,0,20.4%,2020.csv,2020,79.6%,,
2267,11,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,0,0,1%,0,99%,2020.csv,2020,1%,,
2268,12,How the Grinch Stole Christmas 2020 Re-release,0,0,2.3%,0,97.7%,2020.csv,2020,2.3%,,
2269,13,Takizawa Enbujo Zero,0,0,-,0,100%,2020.csv,2020,-,,
2259,14,Stigmatized Properties,0,0,-,0,100%,2020.csv,2020,-,,
2272,15,Kaiji: Final Game,0,0,-,0,100%,2020.csv,2020,-,,
2258,16,Poupelle of Chimney Town,0,0,-,0,100%,2020.csv,2020,-,,
2273,17,Hitman: Agent Jun,0,0,-,0,100%,2020.csv,2020,-,,
2274,18,Digimon Adventure: Last Evolution Kizuna,0,0,-,0,100%,2020.csv,2020,-,,
2275,19,Baaghi 3,0,0,4.3%,0,95.7%,2020.csv,2020,4.3%,,
2276,20,Malasaña 32,0,0,-,0,100%,2020.csv,2020,-,,
2277,21,Pokémon the Movie: Secrets of the Jungle,0,0,-,0,100%,2020.csv,2020,-,,
2278,22,I Still Believe,0,0,61.6%,0,38.4%,2020.csv,2020,61.6%,,
2279,23,Freaky,0,0,56.7%,0,43.3%,2020.csv,2020,56.7%,,
2280,24,Promising Young Woman,0,0,43.5%,0,56.5%,2020.csv,2020,43.5%,,
2281,25,The Way Back,0,0,92.5%,0,7.5%,2020.csv,2020,92.5%,,
2256,26,Interstellar 2020 Re-release,0,0,-,0,100%,2020.csv,2020,-,,
2282,27,The Personal History of David Copperfield,0,0,13.1%,0,86.9%,2020.csv,2020,13.1%,,
2337,28,100% Wolf,0,0,8.9%,0,91.1%,2020.csv,2020,8.9%,,
2255,29,Scoob!,0,0,-,0,100%,2020.csv,2020,-,,
2231,30,Trolls World Tour,0,0,-,0,100%,2020.csv,2020,-,,
2283,31,Nightlife,0,0,-,0,100%,2020.csv,2020,-,,
2234,32,Unhinged,0,0,48.2%,0,51.8%,2020.csv,2020,48.2%,,
2235,33,Train to Busan Presents: Peninsula,0,0,2.9%,0,97.1%,2020.csv,2020,2.9%,,
2236,34,Monster Hunter,0,0,36.5%,0,63.5%,2020.csv,2020,36.5%,,
2237,35,Underwater,0,0,42.3%,0,57.7%,2020.csv,2020,42.3%,,
2238,36,The War with Grandpa,0,0,52.2%,0,47.8%,2020.csv,2020,52.2%,,
2239,37,Sarileru Neekevvaru,0,0,2.2%,0,97.8%,2020.csv,2020,2.2%,,
2240,38,New Interpretation Records of the Three Kingdoms,0,0,-,0,100%,2020.csv,2020,-,,
2241,39,The Confidence Man JP: Princess,0,0,-,0,100%,2020.csv,2020,-,,
2242,40,The Man Standing Next,0,0,0.3%,0,99.7%,2020.csv,2020,0.3%,,
2243,41,My Mom is a Character 3,0,0,-,0,100%,2020.csv,2020,-,,
2244,42,Deliver Us from Evil,0,0,-,0,100%,2020.csv,2020,-,,
2245,43,Bloodshot,0,0,37.5%,0,62.5%,2020.csv,2020,37.5%,,
2246,44,Doraemon the Movie: Nobita's New Dinosaur,0,0,-,0,100%,2020.csv,2020,-,,
2247,45,Harry Potter and the Sorcerer's Stone 2020 Re-release,0,0,-,0,100%,2020.csv,2020,-,,
2248,46,Honest Thief,0,0,45.5%,0,54.5%,2020.csv,2020,45.5%,,
2249,47,Like a Boss,0,0,72.9%,0,27.1%,2020.csv,2020,72.9%,,
2250,48,Bath Buddy,0,0,-,0,100%,2020.csv,2020,-,,
2251,49,Stand by Me Doraemon 2,0,0,-,0,100%,2020.csv,2020,-,,
2252,50,The Witches,0,0,-,0,100%,2020.csv,2020,-,,
2253,51,Emma.,0,0,38.1%,0,61.9%,2020.csv,2020,38.1%,,
2254,52,Leap,0,0,0.3%,0,99.7%,2020.csv,2020,0.3%,,
2271,53,The Promised Neverland,0,0,-,0,100%,2020.csv,2020,-,,
2232,54,Tanhaji: The Unsung Warrior,0,0,-,0,100%,2020.csv,2020,-,,
2285,55,#Alive,0,0,-,0,100%,2020.csv,2020,-,,
2335,56,De Gaulle,0,0,-,0,100%,2020.csv,2020,-,,
2310,57,365 Days,0,0,-,0,100%,2020.csv,2020,-,,
2323,58,Eltilerin Savasi,0,0,-,0,100%,2020.csv,2020,-,,
2314,59,L'appel de la forêt,0,0,-,0,100%,2020.csv,2020,-,,
2315,60,Bigfoot Family,0,0,-,0,100%,2020.csv,2020,-,,
2316,61,Inception 10th Anniversary re-release,0,0,-,0,100%,2020.csv,2020,-,,
2317,62,Break the Silence: The Movie,0,0,-,0,100%,2020.csv,2020,-,,
2318,63,The Closet,0,0,-,0,100%,2020.csv,2020,-,,
2319,64,Downhill,0,0,93.1%,0,6.9%,2020.csv,2020,93.1%,,
2320,65,I Hate Summer,0,0,-,0,100%,2020.csv,2020,-,,
2321,66,Les blagues de Toto,0,0,-,0,100%,2020.csv,2020,-,,
2322,67,The Secret Garden,0,0,-,0,100%,2020.csv,2020,-,,
2312,68,Okay Madam,0,0,-,0,100%,2020.csv,2020,-,,
2325,69,Your Eyes Tell,0,0,-,0,100%,2020.csv,2020,-,,
2311,70,Secret Zoo,0,0,-,0,100%,2020.csv,2020,-,,
2326,71,AI Amok,0,0,-,0,100%,2020.csv,2020,-,,
2327,72,The Lost Prince,0,0,-,0,100%,2020.csv,2020,-,,
2328,73,The Marriage Escape,0,0,-,0,100%,2020.csv,2020,-,,
2329,74,Spirited Away Studio Ghibli Fest 2020,0,0,-,0,100%,2020.csv,2020,-,,
2330,75,Neposredstvenno Kakha,0,0,-,0,100%,2020.csv,2020,-,,
2331,76,Princess Mononoke Studio Ghibli Fest 2020,0,0,-,0,100%,2020.csv,2020,-,,
