question,votes,tags
What does the “yield” keyword do?,11215,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6848,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6706,python operators ternary-operator conditional-operator
What are metaclasses in Python?,6204,python oop metaclass python-class python-datamodel
How do I check whether a file exists without exceptions?,6176,python file file-exists
How do I merge two dictionaries in a single expression (taking union of dictionaries)?,5686,python dictionary merge
How to execute a program or call a system command from Python,5335,python shell terminal subprocess command
How can I safely create a nested directory in Python?,4757,python exception path directory operating-system
Accessing the index in 'for' loops?,4143,python loops list
How to make a flat list out of a list of lists?,4107,python list multidimensional-array flatten
Difference between staticmethod and classmethod,3966,python oop methods python-decorators
Understanding slice notation,3853,python list slice iterable
Finding the index of an item in a list,3647,python list indexing
Does Python have a string 'contains' substring method?,3596,python string substring contains
Iterating over dictionaries using 'for' loops,3535,python dictionary
How do I list all files of a directory?,3467,python directory
How do I sort a dictionary by value?,3417,python sorting dictionary
Using global variables in a function,3388,python global-variables scope
How to get the current time in Python,3274,python datetime time
How do I check if a list is empty?,3231,python list
Catch multiple exceptions in one line (except block),3181,python exception exception-handling
What is the difference between Python's list methods append and extend?,3114,python list data-structures append extend
What is the difference between __str__ and __repr__?,3047,python magic-methods repr
How can I add new keys to a dictionary?,3026,python dictionary lookup
How do I concatenate two lists in Python?,2955,python list concatenation
How can a file be copied?,2936,python file copy filesystems file-copying
How can I make a time delay in Python? [duplicate],2934,python python-3.x delay sleep timedelay
How to make function decorators and chain them together?,2907,python decorator python-decorators
Convert bytes to a string,2902,python string python-3.x
How do I pass a variable by reference?,2886,python reference parameter-passing pass-by-reference
“Least Astonishment” and the Mutable Default Argument,2872,python language-design default-parameters least-astonishment
List changes unexpectedly after assignment. Why is this and how can I prevent it?,2860,python list reference copy clone
How to iterate over rows in a DataFrame in Pandas,2790,python pandas dataframe
Understanding Python super() with __init__() methods [duplicate],2780,python class oop inheritance super
What is __init__.py for?,2772,python module package python-packaging
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2696,python syntax parameter-passing variadic-functions argument-unpacking
Check if a given key already exists in a dictionary,2680,python dictionary
How can I install pip on Windows?,2625,python windows installation pip easy-install
How do you split a list into evenly sized chunks?,2567,python list split chunks
How do I select rows from a DataFrame based on column values?,2564,python pandas dataframe
Manually raising (throwing) an exception in Python,2563,python exception
How to delete a file or folder?,2562,python file-io directory delete-file
How do you change the size of figures drawn with Matplotlib?,2517,python graph matplotlib plot visualization
Find current directory and file's directory [duplicate],2514,python directory
How to print colored text to the terminal?,2499,python terminal output ansi-colors
How to access environment variable values?,2493,python environment-variables
How do I parse a string to a float or int?,2467,python parsing floating-point type-conversion integer
Converting string into datetime,2446,python datetime
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,2432,python performance python-3.x range python-internals
Getting the last element of a list,2412,python list indexing
How do I get a substring of a string in Python?,2362,python string substring
How to upgrade all Python packages with pip,2300,python pip
How do I lowercase a string in Python?,2279,python string uppercase lowercase
Renaming columns in Pandas,2233,python pandas replace dataframe rename
How can I remove a key from a Python dictionary?,2212,python dictionary data-structures unset
How do I sort a list of dictionaries by a value of the dictionary?,2210,python list sorting dictionary data-structures
Are static class variables possible in Python?,2150,python class oop static class-variables
How to print without newline or space?,2108,python newline
Is there a way to run Python on Android?,2088,android python jython ase android-scripting
How do I get the number of elements in a list?,2070,python list
How to read a file line-by-line into a list?,2026,python string file readlines
Calling a function of a module by using its name (a string),1997,python object
Why is reading lines from stdin much slower in C++ than Python?,1988,python c++ benchmarking iostream getline
How to randomly select an item from a list?,1984,python list random
How to know if an object has an attribute in Python,1927,python attributes
Determine the type of an object?,1919,python dictionary types typeof
Limiting floats to two decimal points,1918,python floating-point rounding precision
How to leave/exit/deactivate a Python virtualenv,1889,python virtualenv virtualenvwrapper
Why is it string.join(list) instead of list.join(string)?,1879,python string list
How can I remove a trailing newline?,1839,python newline trailing
How can I print literal curly-brace characters in a string and also use .format on it?,1831,python string format string-formatting curly-braces
Static methods in Python?,1829,python static-methods
How to determine a Python variable's type?,1819,python types unsigned signed 16-bit
Importing files from different folder,1817,python importerror python-import
How to remove an element from a list by index,1778,python list indexing
How can I count the occurrences of a list item?,1764,python list count
How do you append to a file?,1764,python file append
How do I check if a string is a number (float)?,1754,python casting floating-point type-conversion
Replacements for switch statement in Python?,1717,python switch-statement
Delete an element from a dictionary,1716,python dictionary del
Meaning of @classmethod and @staticmethod for beginner? [duplicate],1703,python oop static-methods class-method
